"","name","label"
"1","clust_num","Cluster number"
"2","HH_num","Household number"
"3","childLN","Child's line number"
"4","UF4","Mother / Caretaker's line number"
"5","BD2","Child ever been breastfed"
"6","BD3","Child still being breastfed"
"7","HL4","Sex"
"8","CAGED","Age (in days)"
"9","HAZ2","Height for age z-score WHO"
"10","WAZ2","Weight for age z-score WHO"
"11","WHZ2","Weight for height z-score WHO"
"12","HAZFLAG","Height for age flag WHO"
"13","WAZFLAG","Weight for age flag WHO"
"14","WHZFLAG","Weight for height flag WHO"
"15","melevel","Mother's education"
"16","HINT","Household interviewer number"
"17","HH3","Interviewer number"
"18","HH4","Supervisor number"
"19","HH5D","Day of interview"
"20","HH5M","Month of interview"
"21","HH5Y","Year of interview"
"22","area_type","Area"
"23","region","Region"
"24","HH8","HH selected for Questionnaire for Men"
"25","HH_selected_household","HH selected for Water Quality Testing"
"26","HH_selected_blank","HH selected for Blank Testing"
"27","HH11H","Start of interview - Hour"
"28","HH11M","Start of interview - Minutes"
"29","HH12","Consent"
"30","HH46","Result of HH interview"
"31","HH13H","End of interview - Hour"
"32","HH13M","End of interview - Minutes"
"33","HH14","Language of the Questionnaire"
"34","HH15","Language of the Interview"
"35","HH16","Native language of the Respondent"
"36","HH17","Translator used"
"37","HH26A","Rank number of the selected child"
"38","HH26B","Child line number"
"39","HH26C","Child's age"
"40","HH33X.01","Roster to check the consent for interview girls 15-17"
"41","HH33X.02","Roster to check the consent for interview girls 15-17"
"42","HH33X.03","Roster to check the consent for interview girls 15-17"
"43","HH33X.04","Roster to check the consent for interview girls 15-17"
"44","HH33X.05","Roster to check the consent for interview girls 15-17"
"45","HH33X.06","Roster to check the consent for interview girls 15-17"
"46","HH33X.07","Roster to check the consent for interview girls 15-17"
"47","HH33X.08","Roster to check the consent for interview girls 15-17"
"48","HH33X.09","Roster to check the consent for interview girls 15-17"
"49","HH33X.10","Roster to check the consent for interview girls 15-17"
"50","HH33X.11","Roster to check the consent for interview girls 15-17"
"51","HH33X.12","Roster to check the consent for interview girls 15-17"
"52","HH33X.13","Roster to check the consent for interview girls 15-17"
"53","HH33X.14","Roster to check the consent for interview girls 15-17"
"54","HH33X.15","Roster to check the consent for interview girls 15-17"
"55","HH33X.16","Roster to check the consent for interview girls 15-17"
"56","HH33X.17","Roster to check the consent for interview girls 15-17"
"57","HH33X.18","Roster to check the consent for interview girls 15-17"
"58","HH33X.19","Roster to check the consent for interview girls 15-17"
"59","HH33X.20","Roster to check the consent for interview girls 15-17"
"60","HH33X.21","Roster to check the consent for interview girls 15-17"
"61","HH33X.22","Roster to check the consent for interview girls 15-17"
"62","HH33X.23","Roster to check the consent for interview girls 15-17"
"63","HH33X.24","Roster to check the consent for interview girls 15-17"
"64","HH33X.25","Roster to check the consent for interview girls 15-17"
"65","HH33X.26","Roster to check the consent for interview girls 15-17"
"66","HH33X.27","Roster to check the consent for interview girls 15-17"
"67","HH33X.28","Roster to check the consent for interview girls 15-17"
"68","HH33X.29","Roster to check the consent for interview girls 15-17"
"69","HH33X.30","Roster to check the consent for interview girls 15-17"
"70","HH33X.31","Roster to check the consent for interview girls 15-17"
"71","HH33X.32","Roster to check the consent for interview girls 15-17"
"72","HH33X.33","Roster to check the consent for interview girls 15-17"
"73","HH33X.34","Roster to check the consent for interview girls 15-17"
"74","HH33X.35","Roster to check the consent for interview girls 15-17"
"75","HH33X.36","Roster to check the consent for interview girls 15-17"
"76","HH33X.37","Roster to check the consent for interview girls 15-17"
"77","HH33X.38","Roster to check the consent for interview girls 15-17"
"78","HH33X.39","Roster to check the consent for interview girls 15-17"
"79","HH33X.40","Roster to check the consent for interview girls 15-17"
"80","HH33X.41","Roster to check the consent for interview girls 15-17"
"81","HH33X.42","Roster to check the consent for interview girls 15-17"
"82","HH33X.43","Roster to check the consent for interview girls 15-17"
"83","HH33X.44","Roster to check the consent for interview girls 15-17"
"84","HH33X.45","Roster to check the consent for interview girls 15-17"
"85","HH33X.46","Roster to check the consent for interview girls 15-17"
"86","HH33X.47","Roster to check the consent for interview girls 15-17"
"87","HH33X.48","Roster to check the consent for interview girls 15-17"
"88","HH33X.49","Roster to check the consent for interview girls 15-17"
"89","HH33X.50","Roster to check the consent for interview girls 15-17"
"90","HH33","Consent for interview girls 15-17"
"91","HH39X.01","Roster to check the consent for interview boys 15-17"
"92","HH39X.02","Roster to check the consent for interview boys 15-17"
"93","HH39X.03","Roster to check the consent for interview boys 15-17"
"94","HH39X.04","Roster to check the consent for interview boys 15-17"
"95","HH39X.05","Roster to check the consent for interview boys 15-17"
"96","HH39X.06","Roster to check the consent for interview boys 15-17"
"97","HH39X.07","Roster to check the consent for interview boys 15-17"
"98","HH39X.08","Roster to check the consent for interview boys 15-17"
"99","HH39X.09","Roster to check the consent for interview boys 15-17"
"100","HH39X.10","Roster to check the consent for interview boys 15-17"
"101","HH39X.11","Roster to check the consent for interview boys 15-17"
"102","HH39X.12","Roster to check the consent for interview boys 15-17"
"103","HH39X.13","Roster to check the consent for interview boys 15-17"
"104","HH39X.14","Roster to check the consent for interview boys 15-17"
"105","HH39X.15","Roster to check the consent for interview boys 15-17"
"106","HH39X.16","Roster to check the consent for interview boys 15-17"
"107","HH39X.17","Roster to check the consent for interview boys 15-17"
"108","HH39X.18","Roster to check the consent for interview boys 15-17"
"109","HH39X.19","Roster to check the consent for interview boys 15-17"
"110","HH39X.20","Roster to check the consent for interview boys 15-17"
"111","HH39X.21","Roster to check the consent for interview boys 15-17"
"112","HH39X.22","Roster to check the consent for interview boys 15-17"
"113","HH39X.23","Roster to check the consent for interview boys 15-17"
"114","HH39X.24","Roster to check the consent for interview boys 15-17"
"115","HH39X.25","Roster to check the consent for interview boys 15-17"
"116","HH39X.26","Roster to check the consent for interview boys 15-17"
"117","HH39X.27","Roster to check the consent for interview boys 15-17"
"118","HH39X.28","Roster to check the consent for interview boys 15-17"
"119","HH39X.29","Roster to check the consent for interview boys 15-17"
"120","HH39X.30","Roster to check the consent for interview boys 15-17"
"121","HH39X.31","Roster to check the consent for interview boys 15-17"
"122","HH39X.32","Roster to check the consent for interview boys 15-17"
"123","HH39X.33","Roster to check the consent for interview boys 15-17"
"124","HH39X.34","Roster to check the consent for interview boys 15-17"
"125","HH39X.35","Roster to check the consent for interview boys 15-17"
"126","HH39X.36","Roster to check the consent for interview boys 15-17"
"127","HH39X.37","Roster to check the consent for interview boys 15-17"
"128","HH39X.38","Roster to check the consent for interview boys 15-17"
"129","HH39X.39","Roster to check the consent for interview boys 15-17"
"130","HH39X.40","Roster to check the consent for interview boys 15-17"
"131","HH39X.41","Roster to check the consent for interview boys 15-17"
"132","HH39X.42","Roster to check the consent for interview boys 15-17"
"133","HH39X.43","Roster to check the consent for interview boys 15-17"
"134","HH39X.44","Roster to check the consent for interview boys 15-17"
"135","HH39X.45","Roster to check the consent for interview boys 15-17"
"136","HH39X.46","Roster to check the consent for interview boys 15-17"
"137","HH39X.47","Roster to check the consent for interview boys 15-17"
"138","HH39X.48","Roster to check the consent for interview boys 15-17"
"139","HH39X.49","Roster to check the consent for interview boys 15-17"
"140","HH39X.50","Roster to check the consent for interview boys 15-17"
"141","HH39","Consent for interview boys 15-17"
"142","HH44","Consent for Water Quality Testing"
"143","HH47","Respondent to HH questionnaire"
"144","HH48","Number of HH members"
"145","HH49","Number of women 15 - 49 years"
"146","HH50","Number of men 15 - 49 years [If household is selected for Questionnaire for Men]"
"147","HH50A","Number of men 15 - 49 years in interviewed households"
"148","HH51","Number of children under age 5"
"149","HH52","Number of children age 5-17 years in interviewed households"
"150","HH53","Number of woman' questionnaires completed"
"151","HH54","Number of man' questionnaires completed [If household is selected for Questionnaire for Men]"
"152","HH55","Number of under - 5 questionnaires completed"
"153","HH56","Number of CF questionnaires completed (age 5-17)"
"154","INTROHL","Introduction HH Listing"
"155","HHAUX","Other household members"
"156","HHWQ","Water Quality prompt"
"157","HHFIN","Finish"
"158","HC2","Ethnic group of household head"
"159","HC2A","Number of available rooms"
"160","HC3","Number of rooms used for sleeping"
"161","HC3A","Dwelling type"
"162","HC4","Main material of floor"
"163","HC5","Main material of roof"
"164","HC6","Main material of exterior wall"
"165","HC7A","Household have: Fixed telephone line"
"166","HC7A1","Can afford fixed telephone line"
"167","HC7C","Household have: Bed"
"168","HC7D","Household have: Table and chairs"
"169","HC7E","Household have: Wardrobe"
"170","HC7F","Household have: Sofa"
"171","HC7G","Household have: Cupboard"
"172","HC8","Household have electricity"
"173","HC9A","Household have: Television"
"174","HC9A1","Can afford television"
"175","HC9C","Household have: Plasma Television"
"176","HC9D","Household have: Washing machine"
"177","HC9D1","Can afford washing machine"
"178","HC9B","Household have: Refrigerator"
"179","HC9E","Household have: Vacuum cleaner"
"180","HC9F","Household have: Electric stove"
"181","HC9G","Household have: Water heater"
"182","HC9H","Household have: Clothes dryer"
"183","HC9I","Household have: Air conditioner"
"184","HC9J","Household have: Jacuzzi tub"
"185","HC9K","Household have: Dish washer"
"186","HC9L","Household have: Air cleaner"
"187","HC9M","Household have: Solar panel"
"188","HC9ZA","Household have: Shower unit or a bathtub in your dwelling"
"189","HC9ZB","Replaces furniture, such as a bed, sofa, dresser or cupboard when worn out or damaged"
"190","HC9ZB1","Can afford to replace furniture"
"191","HC10C","Any member of household own: Motorcycle or scooter"
"192","HC10D","Any member of household own: Animal-drawn cart"
"193","HC10E","Any member of household own: Car, truck or van"
"194","HC10E1","Any member of household can afford: Car, Truck or van"
"195","HC11","Any member have a computer"
"196","HC11A1","Any member of household can afford: Computer"
"197","HC12","Any member have a mobile telephone"
"198","HC12A1","Any member of household can afford: Mobile telephone"
"199","HC13","Internet access at home"
"200","HC14","Household owns the dwelling"
"201","HC14A","Someone living in this household owns another dwelling"
"202","HC14B","Dwelling is too dark, not enough daylight coming through the windows"
"203","HC14CA","Problems with dwelling: A leaking roof"
"204","HC14CB","Problems with dwelling: Damps walls, floors or foundations"
"205","HC14CC","Problems with dwelling: Rot in window frames or floor"
"206","HC14DA","Problems related to the place where live: Noise"
"207","HC14DB","Problems related to the place where live: Environment"
"208","HC14DC","Problems related to the place where live: Crime"
"209","HC15","Any household member owns land that can be used for agriculture"
"210","HC16","Hectares and ares of agricultural land members of household own"
"211","HC17","Household own any animals"
"212","HC18A","Milk cows or bulls"
"213","HC18B","Other cattle"
"214","HC18C","Horses, donkeys or mules"
"215","HC18D","Goats"
"216","HC18E","Sheep"
"217","HC18F","Chickens"
"218","HC18G","Pigs"
"219","HC18H","Turkeys"
"220","HC18I","Beehives"
"221","HC19","Any household member own bank account / bank card"
"222","MD1","Respondent is person responsible for this dwelling"
"223","MD2","Person responsible for this dwelling"
"224","MD3","Can speak to additional respondent"
"225","MD4","Permission from additional respondent"
"226","MD6","Household currently has a mortgage on this dwelling"
"227","MD7","Unable to pay rent / mortgage on time"
"228","MD8","Household unable to pay utility bills"
"229","MD10","Household unable to pay hire-purchase instalments or other loan payments"
"230","MD11","Can entire household afford to go for a week's annual holiday"
"231","MD12","Can household afford a meal with meat, chicken, fish every second day"
"232","MD13","Can household afford an unexpected required expense of 100 EUR and pay through its own resources"
"233","MD14","Can household afford to keep its home adequately warm"
"234","ST2.1","Aware of social assistance"
"235","ST2.2","Aware of disability pension"
"236","ST2.3","Aware of old age pension"
"237","ST2.4","Aware of any other external assistance programme"
"238","ST3.1","Received assistance through social assistance"
"239","ST3.2","Received assistance through disability pension"
"240","ST3.3","Received assistance through old age pension"
"241","ST3.4","Received assistance through any other external assistance programme"
"242","ST4U.1","Last time social assistance was received (unit)"
"243","ST4U.2","Last time disability pension was received (unit)"
"244","ST4U.3","Last time old age pension was received (unit)"
"245","ST4U.4","Last time any pther external assistance was received (unit)"
"246","ST4N.1","Last time social assistance was received (number)"
"247","ST4N.2","Last time disability pension was received (number)"
"248","ST4N.3","Last time old age pension was received (number)"
"249","ST4N.4","Last time any pther external assistance was received (number)"
"250","EU1","Type of cookstove mainly used for cooking"
"251","EU2","Cookstove has a chimney"
"252","EU3","Cookstove has a fan"
"253","EU4","Type of energy source for cookstove"
"254","EU5","Place for cooking"
"255","EU6","Type of space heating in household"
"256","EU7","Space heater has a chimney"
"257","EU8","Type of energy source for heater"
"258","EU9","Type of lighting in household"
"259","WS1","Main source of drinking water"
"260","WS2","Main source of water used for other purposes (if bottled water used for drinking)"
"261","WS3","Location of the water source"
"262","WS4","Time (in minutes) to get water and come back"
"263","WS5","Person collecting water"
"264","WS6","Number of times person collected water in the last seven days"
"265","WS7","There been any time in the last month without sufficient water"
"266","WS8","Main reason without sufficient water"
"267","WS9","Treat water to make safer for drinking"
"268","WS10A","Water treatment: Boil"
"269","WS10B","Water treatment: Add bleach/chlorine"
"270","WS10C","Water treatment: Strain it through a cloth"
"271","WS10D","Water treatment: Use water filter"
"272","WS10E","Water treatment: Solar disinfection"
"273","WS10F","Water treatment: Let it stand and settle"
"274","WS10X","Water treatment: Other"
"275","WS10Z","Water treatment: DK"
"276","WS10NR","Water treatment: No response"
"277","WS11","Type of toilet facility"
"278","WS12","Pit latrine or septic tank ever been emptied"
"279","WS13","Place the contents were emptied"
"280","WS14","Location of the toilet facility"
"281","WS15","Toilet facility shared"
"282","WS16","Toilet shared with other household or with general public"
"283","WS17","Households using this toilet facility"
"284","WQ1","Cluster number"
"285","WQ2","Household number"
"286","measurer_id","Measurer number"
"287","WQ4","Interviewer number"
"288","WQ5D","Day of water quality test"
"289","WQ5M","Month of water quality test"
"290","WQ5Y","Year of water quality test"
"291","WQ6","HH selected for blank testing"
"292","WQ8","Consent for water quality test"
"293","WQ31","Result of water quality test"
"294","WQ10H","Start of water quality test - Hour"
"295","WQ10M","Start of water quality test - Minutes"
"296","WQ23H","End of water quality test - Hour"
"297","WQ23M","End of water quality test - Minutes"
"298","HH_water_sample_provided","A glass of water that household members usually drink was provided"
"299","observe_HH_sample_collection","Water was collected from the source"
"300","WQ14","Done anything to the water to make it safer to drink"
"301","WQ15A","Water treatment: Boil"
"302","WQ15B","Water treatment: Add bleach/chlorine"
"303","WQ15C","Water treatment: Strain it through a cloth"
"304","WQ15D","Water treatment: Use water filter"
"305","WQ15E","Water treatment: Solar disinfection"
"306","WQ15F","Water treatment: Let it stand and settle"
"307","WQ15X","Water treatment: Other"
"308","WQ15Z","Water treatment: DK"
"309","WQ15NR","Water treatment: No response"
"310","source_HH_sample","Source of water where the glass of water was collected"
"311","permission_water_sample_SC","Main source of water was shown"
"312","EC_SC_tst_conducted","Source water sample collected"
"313","WQ20","HH selected for blank testing"
"314","WQ21","Blank water test available"
"315","WQ24D","Day of recording test results"
"316","WQ24M","Month of recording test results"
"317","WQ24Y","Year of recording test results"
"318","WQ25H","Time of recording test results - Hour"
"319","WQ25M","Time of recording test results - Minutes"
"320","EC_100_H","Household water test (100ml)"
"321","EC_100_S","Source water test (100ml)"
"322","EC_100_B","Blank water test (100ml)"
"323","HH2ROOT","Original household number for additional household"
"324","hhsex","Sex of household head"
"325","HHAGE","Age of household head"
"326","ethnicity","Ethnicity of household head"
"327","mdeprived1","Material deprivation (Grouping 1)"
"328","mdeprived2","Material deprivation (Grouping 2)"
"329","helevel","Education of household head"
"330","hhweight","Household sample weight"
"331","wqhweight","Weight for household WQT"
"332","wqsweight","Weight for source WQT"
"333","wscore","Combined wealth score"
"334","windex5","Wealth index quintile"
"335","windex10","Percentile Group of com1"
